Sensor,Start,Stop,Reason
All,2016-01-09 15:30:00,2016-01-09 17:10:00,Installation
Spd,2016-03-09 06:20,2016-03-09 10:30,Icing
Dir,2016-03-09 06:20,2016-03-09 10:30,Icing
Spd,2016-03-29 23:50,2016-03-30 07:10,Icing
Dir,2016-03-29 23:50,2016-03-30 07:10,Icing
Spd,2016-11-08 02:30,2016-11-08 10:50,Icing
Dir,2016-11-08 02:30,2016-11-08 10:50,Icing
Spd,2016-11-18 15:50,2016-11-19 10:30,Icing
Dir,2016-11-18 15:50,2016-11-19 10:30,Icing
Spd,2016-11-20 16:40,2016-11-21 12:40,Icing
Dir,2016-11-20 16:40,2016-11-21 12:40,Icing
Spd,2017-01-21 00:00,2017-01-21 07:10,Icing
Dir,2017-01-21 00:00,2017-01-21 07:10,Icing
Spd,2017-01-28 14:10,2017-01-28 17:30,Icing
Dir,2017-01-28 14:10,2017-01-28 17:30,Icing
Spd,2017-10-30 01:40,2017-10-30 07:00,Icing
Dir,2017-10-30 01:40,2017-10-30 07:00,Icing
Dir58mS,2016-12-26 07:00:00,2018-02-09 21:30,Invalid
Dir78mS,2017-08-11 02:10:00,2018-02-09 21:30,Invalid
Spd80mS,2017-09-04 00:30:00,2018-02-09 21:30,Invalid
