Data Column	Flag Name	Start Time	End Time	Time Steps
Spd80mN	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd80mS	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd60mN	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd60mS	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd40mN	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd40mS	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd80mNStd	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd80mSStd	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd60mNStd	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd60mSStd	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd40mNStd	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd40mSStd	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd80mNMax	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd80mSMax	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd60mNMax	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd60mSMax	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd40mNMax	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Spd40mSMax	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Dir78mS	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Dir78mSStd	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Dir58mS	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Dir58mSStd	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Dir38mS	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Dir38mSStd	Installation	2016-01-09 15:30	2016-01-09 17:10	10
T2m	Installation	2016-01-09 15:30	2016-01-09 17:10	10
RH2m	Installation	2016-01-09 15:30	2016-01-09 17:10	10
P2m	Installation	2016-01-09 15:30	2016-01-09 17:10	10
PrcpTot	Installation	2016-01-09 15:30	2016-01-09 17:10	10
BattMin	Installation	2016-01-09 15:30	2016-01-09 17:10	10
Sp	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd80mN	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd80mS	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd60mN	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd60mS	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd40mN	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd40mS	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd80mNStd	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd80mSStd	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd60mNStd	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd60mSStd	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd40mNStd	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd40mSStd	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd80mNMax	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd80mSMax	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd60mNMax	Icing	2016-03-09 06:20	2016-03-09 10:30	25
Spd60mSMax	Icing	2016-03-09 06:20	2016-03-09 10:30	25
