Sensor,Start,Stop,Reason
All,09/01/2016 15:30:00+00:00,09/01/2016 17:10:00+00:00,Installation
Spd,09/03/2016 06:20:00+00:00,09/03/2016 10:30:00+00:00,Icing
Dir,09/03/2016 06:20:00+00:00,09/03/2016 10:30:00+00:00,Icing
Spd,29/03/2016 23:50:00+00:00,30/03/2016 07:10:00+00:00,Icing
Dir,29/03/2016 23:50:00+00:00,30/03/2016 07:10:00+00:00,Icing
Spd,08/11/2016 02:30:00+00:00,08/11/2016 10:50:00+00:00,Icing
Dir,08/11/2016 02:30:00+00:00,08/11/2016 10:50:00+00:00,Icing
Spd,18/11/2016 15:50:00+00:00,19/11/2016 10:30:00+00:00,Icing
Dir,18/11/2016 15:50:00+00:00,19/11/2016 10:30:00+00:00,Icing
Spd,20/11/2016 16:40:00+00:00,21/11/2016 12:40:00+00:00,Icing
Dir,20/11/2016 16:40:00+00:00,21/11/2016 12:40:00+00:00,Icing
Spd,21/01/2017 00:00:00+00:00,21/01/2017 07:10:00+00:00,Icing
Dir,21/01/2017 00:00:00+00:00,21/01/2017 07:10:00+00:00,Icing
Spd,28/01/2017 14:10:00+00:00,28/01/2017 17:30:00+00:00,Icing
Dir,28/01/2017 14:10:00+00:00,28/01/2017 17:30:00+00:00,Icing
Spd,30/10/2017 01:40:00+00:00,30/10/2017 07:00:00+00:00,Icing
Dir,30/10/2017 01:40:00+00:00,30/10/2017 07:00:00+00:00,Icing
Dir58mS,26/12/2016 07:00:00+00:00,09/02/2018 21:30:00+00:00,Invalid
Dir78mS,11/08/2017 02:10:00+00:00,09/02/2018 21:30:00+00:00,Invalid
Spd80mS,04/09/2017 00:30:00+00:00,09/02/2018 21:30:00+00:00,Invalid
