Timestamp,Spd_40m,Dir_40m,Spd_50m,Dir_50m
2012-10-23 13:10:00,3.37,122.5,3.21,120.9
2012-10-23 13:20:00,3.83,127.3,3.76,128.8
2012-10-23 13:30:00,4.26,125.5,4.14,126.2
2012-10-23 13:40:00,3.16,125.2,2.98,127.3
2012-10-23 13:50:00,3.55,124.5,3.4,127.3
2012-10-23 14:00:00,3.5700000000000003,120.6,3.42,121.6
2012-10-23 14:10:00,3.82,118.5,3.59,122.0
2012-10-23 14:20:00,4.2,121.6,3.86,123.8
2012-10-23 14:30:00,2.69,107.4,2.43,111.2
2012-10-23 14:40:00,2.01,95.1,2.02,95.2
2012-10-23 14:50:00,1.41,75.4,1.41,76.0
2012-10-23 15:00:00,2.6,69.6,2.65,70.2
2012-10-23 15:10:00,3.03,60.4,3.05,61.4
2012-10-23 15:20:00,3.0,74.7,3.21,75.3
2012-10-23 15:30:00,2.61,72.7,2.69,73.9
2012-10-23 15:40:00,3.22,81.7,3.27,82.2
2012-10-23 15:50:00,2.52,79.5,2.66,80.1
2012-10-23 16:00:00,2.56,81.5,2.63,81.9
2012-10-23 16:10:00,2.34,73.8,2.45,74.9
2012-10-23 16:20:00,2.61,68.4,2.71,69.4
2012-10-23 16:30:00,3.2,75.8,3.3,77.0
2012-10-23 16:40:00,3.48,82.5,3.42,83.1
2012-10-23 16:50:00,2.81,90.7,2.48,93.9
2012-10-23 17:00:00,2.31,91.6,2.2,92.3
2012-10-23 17:10:00,2.2,106.0,2.12,109.6
2012-10-23 17:20:00,2.22,99.5,2.03,102.5
2012-10-23 17:30:00,3.43,83.9,3.52,83.9
2012-10-23 17:40:00,4.34,81.9,4.57,81.6
2012-10-23 17:50:00,3.62,82.5,3.77,81.9
2012-10-23 18:00:00,3.52,81.3,3.64,80.9
2012-10-23 18:10:00,3.36,80.3,3.44,80.0
2012-10-23 18:20:00,3.14,80.0,3.32,79.3
2012-10-23 18:30:00,4.23,84.7,4.26,83.4
2012-10-23 18:40:00,3.89,86.1,3.83,86.0
2012-10-23 18:50:00,3.87,83.1,4.02,82.1
2012-10-23 19:00:00,2.88,71.7,3.08,71.8
2012-10-23 19:10:00,2.48,67.7,2.56,69.4
2012-10-23 19:20:00,2.86,75.7,3.06,76.5
2012-10-23 19:30:00,3.71,78.7,3.99,78.3
2012-10-23 19:40:00,3.75,77.9,4.01,78.0
2012-10-23 19:50:00,3.29,78.7,3.4,79.3
2012-10-23 20:00:00,3.98,85.8,3.98,85.7
2012-10-23 20:10:00,3.09,74.8,3.25,74.7
2012-10-23 20:20:00,3.38,64.7,3.48,66.0
2012-10-23 20:30:00,4.14,72.1,4.32,72.5
2012-10-23 20:40:00,4.19,72.0,4.36,73.2
2012-10-23 20:50:00,3.83,69.1,4.06,69.8
2012-10-23 21:00:00,3.52,73.7,3.74,73.4
2012-10-23 21:10:00,2.62,82.9,2.64,83.2
2012-10-23 21:20:00,2.9,79.4,2.91,78.7
2012-10-23 21:30:00,3.77,74.3,3.95,74.3
2012-10-23 21:40:00,4.16,73.3,4.28,73.7
2012-10-23 21:50:00,3.67,68.6,3.8,69.2
2012-10-23 22:00:00,3.9,70.5,3.97,71.4
2012-10-23 22:10:00,3.85,69.4,3.98,70.3
2012-10-23 22:20:00,3.73,76.7,3.91,76.6
2012-10-23 22:30:00,2.62,71.0,2.77,72.1
2012-10-23 22:40:00,2.03,74.5,2.07,75.8
2012-10-23 22:50:00,2.37,78.8,2.43,81.0
2012-10-23 23:00:00,2.28,83.3,2.08,84.5
2012-10-23 23:10:00,2.17,88.6,2.16,90.2
2012-10-23 23:20:00,1.93,85.2,1.85,83.8
2012-10-23 23:30:00,1.91,80.2,1.89,80.8
2012-10-23 23:40:00,1.98,90.1,1.74,89.9
2012-10-23 23:50:00,2.1,67.6,2.2,71.7
2012-10-24 00:00:00,2.32,63.9,2.41,67.1
2012-10-24 00:10:00,2.49,46.1,2.52,49.2
2012-10-24 00:20:00,2.45,52.4,2.56,53.4
2012-10-24 00:30:00,2.87,58.0,2.96,59.3
2012-10-24 00:40:00,2.71,62.5,2.8,63.5
2012-10-24 00:50:00,2.73,80.0,2.78,78.3
2012-10-24 01:00:00,2.38,68.0,2.44,67.4
2012-10-24 01:10:00,2.54,61.2,2.62,62.2
2012-10-24 01:20:00,2.4,73.6,2.53,76.2
2012-10-24 01:30:00,2.71,72.5,2.77,75.9
2012-10-24 01:40:00,2.69,59.1,2.66,61.5
2012-10-24 01:50:00,2.84,58.7,3.01,60.7
2012-10-24 02:00:00,2.66,55.8,2.8200000000000003,55.8
2012-10-24 02:10:00,2.72,51.8,2.91,53.4
2012-10-24 02:20:00,2.5700000000000003,57.3,2.68,58.2
2012-10-24 02:30:00,3.21,64.7,3.32,64.7
2012-10-24 02:40:00,3.0,64.9,3.15,65.6
2012-10-24 02:50:00,3.0,59.7,3.17,59.5
2012-10-24 03:00:00,2.77,55.1,2.93,54.9
2012-10-24 03:10:00,2.6,55.3,2.75,55.7
2012-10-24 03:20:00,2.28,70.3,2.41,70.0
2012-10-24 03:30:00,2.39,77.3,2.55,76.5
2012-10-24 03:40:00,2.34,61.0,2.47,62.7
2012-10-24 03:50:00,3.2,56.3,3.3,56.7
2012-10-24 04:00:00,3.15,53.4,3.34,53.2
2012-10-24 04:10:00,2.32,35.3,2.48,38.7
2012-10-24 04:20:00,2.33,29.8,2.41,33.2
2012-10-24 04:30:00,2.46,33.6,2.6,35.0
2012-10-24 04:40:00,2.6,33.1,2.69,36.2
2012-10-24 04:50:00,3.05,31.1,3.13,34.2
2012-10-24 05:00:00,2.98,30.9,3.0,32.8
2012-10-24 05:10:00,2.74,45.8,2.84,47.2
2012-10-24 05:20:00,2.78,45.0,2.9,45.9
2012-10-24 05:30:00,2.48,42.5,2.54,45.5
2012-10-24 05:40:00,2.23,36.7,2.38,38.6
2012-10-24 05:50:00,2.16,40.7,2.3,43.4
2012-10-24 06:00:00,1.94,55.2,2.06,57.5
2012-10-24 06:10:00,2.11,64.7,2.23,66.0
2012-10-24 06:20:00,1.6800000000000002,76.7,1.85,73.9
2012-10-24 06:30:00,1.96,67.4,2.22,65.9
2012-10-24 06:40:00,1.7000000000000002,43.3,1.9,44.8
2012-10-24 06:50:00,1.8,23.0,1.89,26.0
2012-10-24 07:00:00,2.45,22.8,2.56,24.3
2012-10-24 07:10:00,2.54,18.6,2.7,19.4
2012-10-24 07:20:00,2.41,35.6,2.56,36.4
2012-10-24 07:30:00,2.78,33.8,2.9,34.0
2012-10-24 07:40:00,2.63,21.8,2.76,22.5
2012-10-24 07:50:00,2.52,27.9,2.68,29.8
2012-10-24 08:00:00,2.21,30.3,2.29,30.4
2012-10-24 08:10:00,2.02,36.3,2.12,38.6
2012-10-24 08:20:00,2.01,39.8,2.05,40.7
2012-10-24 08:30:00,1.33,38.7,1.34,42.3
2012-10-24 08:40:00,1.71,26.1,1.76,27.2
2012-10-24 08:50:00,2.01,24.6,2.02,24.0
2012-10-24 09:00:00,2.3,28.2,2.34,28.0
2012-10-24 09:10:00,2.0,29.9,2.02,30.7
2012-10-24 09:20:00,1.77,29.8,1.75,31.3
2012-10-24 09:30:00,1.08,48.2,1.12,50.7
2012-10-24 09:40:00,1.18,29.5,1.27,37.8
2012-10-24 09:50:00,0.76,45.0,0.81,46.6
2012-10-24 10:00:00,1.01,359.2,1.14,352.6
2012-10-24 10:10:00,1.13,358.4,1.17,358.0
2012-10-24 10:20:00,1.58,358.9,1.66,359.6
2012-10-24 10:30:00,2.22,353.8,2.18,354.8
2012-10-24 10:40:00,2.26,344.2,2.27,345.4
2012-10-24 10:50:00,2.43,345.2,2.41,344.2
2012-10-24 11:00:00,2.47,350.1,2.48,351.1
2012-10-24 11:10:00,2.38,342.0,2.43,342.7
2012-10-24 11:20:00,2.31,346.4,2.32,346.3
2012-10-24 11:30:00,2.45,345.1,2.43,343.5
2012-10-24 11:40:00,2.29,342.7,2.31,342.5
2012-10-24 11:50:00,2.31,342.3,2.36,342.9
2012-10-24 12:00:00,2.09,358.8,2.06,356.8
2012-10-24 12:10:00,2.38,348.0,2.4,347.4
2012-10-24 12:20:00,2.38,343.9,2.41,343.0
2012-10-24 12:30:00,2.33,354.9,2.26,353.8
2012-10-24 12:40:00,2.38,355.8,2.15,355.1
2012-10-24 12:50:00,2.35,352.9,2.27,351.6
2012-10-24 13:00:00,2.03,7.0,1.96,9.0
2012-10-24 13:10:00,1.58,358.2,1.52,359.1
2012-10-24 13:20:00,1.48,20.9,1.44,21.7
2012-10-24 13:30:00,1.3,1.3,1.24,359.3
2012-10-24 13:40:00,1.23,315.9,1.25,318.0
2012-10-24 13:50:00,2.04,308.9,2.05,307.6
2012-10-24 14:00:00,1.89,314.7,1.91,314.2
2012-10-24 14:10:00,2.78,313.0,2.88,313.2
2012-10-24 14:20:00,3.46,312.0,3.52,313.5
2012-10-24 14:30:00,4.47,319.5,4.48,320.7
2012-10-24 14:40:00,4.22,321.1,4.28,321.8
2012-10-24 14:50:00,4.09,321.9,4.2,323.3
2012-10-24 15:00:00,3.16,328.7,3.21,329.5
2012-10-24 15:10:00,2.91,338.3,2.99,338.3
2012-10-24 15:20:00,2.66,335.4,2.83,335.4
2012-10-24 15:30:00,2.95,340.1,3.02,339.9
2012-10-24 15:40:00,4.01,346.7,4.05,346.8
2012-10-24 15:50:00,4.77,349.0,4.72,349.1
2012-10-24 16:00:00,3.78,353.3,3.65,358.6
2012-10-24 16:10:00,2.72,350.7,3.08,351.8
2012-10-24 16:20:00,4.24,349.3,,
2012-10-24 16:30:00,4.16,349.4,,
2012-10-24 16:40:00,2.79,341.5,,
2012-10-24 16:50:00,1.92,179.9,,
2012-10-24 17:00:00,2.22,351.0,2.93,352.0
