Data Column	Flag Name	Start Time	End Time	Time Steps
Spd80mN	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd80mS	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd60mN	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd60mS	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd40mN	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd40mS	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd80mNStd	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd80mSStd	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd60mNStd	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd60mSStd	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd40mNStd	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd40mSStd	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd80mNMax	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd80mSMax	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd60mNMax	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd60mSMax	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd40mNMax	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Spd40mSMax	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Dir78mS	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Dir78mSStd	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Dir58mS	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Dir58mSStd	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Dir38mS	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Dir38mSStd	Installation	09/01/2016 15:30	09/01/2016 17:10	10
T2m	Installation	09/01/2016 15:30	09/01/2016 17:10	10
RH2m	Installation	09/01/2016 15:30	09/01/2016 17:10	10
P2m	Installation	09/01/2016 15:30	09/01/2016 17:10	10
PrcpTot	Installation	09/01/2016 15:30	09/01/2016 17:10	10
BattMin	Installation	09/01/2016 15:30	09/01/2016 17:10	10
Sp	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd80mN	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd80mS	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd60mN	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd60mS	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd40mN	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd40mS	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd80mNStd	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd80mSStd	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd60mNStd	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd60mSStd	Icing	09/03/2016 06:20	09/03/2016 10:30	25
Spd40mNStd	Icing	09/03/2016 06:20	09/03/2016 10:30	25
